Latitud,Habitaciones,Baños,Superficie_m2,Ascensor,Aire_Acondicionado,Calefaccion,Parking,Balcon,Terraza,Piscina,Precio_Medio_cp,Precio
40.402584,2,2,102,1,1,1,0,0,0,1,529747,445000
40.423885,3,1,53,0,0,0,0,0,0,0,260568,108000
40.42368,3,1,53,0,0,0,0,0,0,0,260568,108000
40.407387,2,1,68,0,1,1,0,0,0,0,440796,235000
40.420685,2,2,177,1,1,0,0,1,0,0,1709528,2350000
40.436382,4,2,167,1,1,0,0,0,0,0,1023319,1100000
40.38752,2,1,70,0,1,1,0,0,1,0,197312,139000
40.365944,3,2,103,1,1,1,0,0,1,1,314346,311000
40.36765,3,2,103,1,0,1,0,0,0,1,314346,311000
40.386314,3,1,90,0,0,0,0,0,0,0,202513,172000
40.43392,3,2,138,1,1,0,0,0,1,0,673599,760000
40.434944,1,2,91,1,1,1,0,0,0,0,603234,550000
40.433132,6,3,244,1,1,1,0,1,0,0,673599,950000
40.427868,3,2,115,1,1,1,0,0,0,0,673599,700000
40.459015,3,1,84,0,0,1,0,0,0,0,302278,300000
40.46544,2,1,78,1,1,1,0,0,1,1,942338,525000
40.461243,3,3,158,1,1,1,0,1,1,1,457692,490000
40.44944,5,3,334,0,1,1,0,1,1,0,379788,890000
40.366096,4,2,144,1,0,0,1,1,0,0,212177,249000
40.435013,2,1,59,1,1,1,0,0,0,0,603234,300000
40.43211,5,2,181,1,0,1,0,0,0,0,1207212,895000
40.39114,2,1,75,0,1,1,0,0,1,0,226302,235000
40.41559,6,3,250,1,0,0,0,0,1,0,259011,720000
40.437138,3,2,130,1,1,1,1,1,0,0,603234,550000
40.4155,2,1,76,1,1,1,0,0,0,0,760050,365000
40.35172,3,1,56,0,0,1,0,0,1,0,212177,119000
40.43469,2,1,62,0,0,0,0,1,0,0,603234,260000
40.396152,3,1,64,0,0,0,0,0,0,0,199225,145000
40.35127,3,1,109,1,0,0,0,1,0,0,156772,159000
40.386906,2,1,70,0,1,1,0,0,0,0,202513,170000
40.386673,3,1,88,0,0,1,0,0,1,0,197312,159000
40.34762,3,1,70,0,1,0,0,0,1,0,156772,125000
40.378666,4,2,118,1,1,1,1,1,0,1,197312,359000
40.385815,2,1,84,1,0,1,0,0,0,0,166500,194000
40.47441,3,1,90,1,0,1,0,0,1,0,471372,202000
40.41867,1,1,48,1,1,0,0,1,0,0,760050,330000
40.392662,3,2,100,1,1,1,0,0,0,1,357857,490000
40.435112,4,2,144,1,1,1,1,0,0,0,603234,560000
40.42511,4,3,252,1,1,0,0,1,1,0,1709528,2250000
40.436924,4,3,235,1,1,1,1,0,1,1,673599,1495000
40.375748,2,1,70,1,0,1,0,0,1,0,197312,159000
40.41327,0,1,55,1,1,1,0,0,0,0,421413,260000
40.342453,3,2,118,1,1,1,0,0,1,0,156772,259900
40.38361,3,1,66,0,0,0,0,0,1,0,202513,121000
40.443935,1,1,35,0,1,0,0,0,0,0,898889,200000
40.411068,2,1,57,0,1,1,0,0,1,0,440796,225000
40.470448,4,3,151,1,0,1,0,0,1,1,733699,650000
40.406647,2,1,71,0,1,1,0,0,0,0,259011,159000
40.45523,4,5,287,0,1,1,0,0,1,0,1274253,895000
40.43044,3,4,215,1,1,1,0,0,0,0,1023319,1590000
40.44485,4,4,236,1,1,1,0,0,1,1,379788,995000
40.436665,5,5,302,1,1,1,0,0,1,0,1023319,2550000
40.424343,3,2,133,1,0,1,0,1,0,0,941621,740000
40.44436,4,4,115,1,1,1,0,0,1,0,898889,690000
40.437515,3,2,111,1,0,1,0,0,0,0,1023319,550000
40.40415,2,2,62,1,0,1,0,0,0,0,164928,225000
40.50993,3,2,144,1,1,0,0,0,0,0,480497,499000
40.450825,1,1,56,1,0,0,0,0,0,0,911651,353000
40.4428,1,1,44,1,0,0,0,0,0,0,379788,255000
40.409195,0,1,33,1,0,0,0,0,0,0,421413,320000
40.409195,0,1,40,1,0,0,0,0,0,0,421413,270000
40.448597,4,3,213,0,1,1,0,1,1,1,280852,498000
40.444843,3,1,85,0,0,1,0,0,1,0,700100,365000
40.429718,1,1,66,1,1,1,0,0,0,0,673599,424000
40.419476,2,2,79,0,1,1,0,1,1,0,760050,489000
40.407997,1,1,41,0,1,1,0,0,0,0,421413,198000
40.45799,1,1,43,1,1,1,0,0,0,1,911651,255000
40.436153,1,1,52,1,1,1,0,1,1,0,1207212,320000
40.429817,1,1,40,1,1,1,0,0,0,0,1207212,500000
40.425346,3,2,128,1,1,1,0,0,0,0,1709528,1700000
40.41697,1,1,71,1,1,1,0,0,0,0,856046,580000
40.367798,3,2,89,1,0,1,0,0,1,0,314346,311000
40.44557,1,1,46,0,1,1,0,0,0,0,898889,235000
40.439224,1,2,94,1,1,1,1,1,1,0,260568,285000
40.42942,5,2,228,1,1,0,0,0,1,0,1207212,1600000
40.404324,3,1,60,1,0,1,0,0,1,0,260153,185000
40.411316,4,2,112,1,0,1,0,0,1,0,421413,415000
40.369457,3,1,105,1,0,1,0,0,1,0,234693,180000
40.442146,4,2,203,1,1,1,0,0,1,0,379788,850000
40.36168,3,2,151,1,1,1,1,0,0,0,234693,330000
40.36683,3,2,103,1,1,1,0,0,1,1,314346,311000
40.477997,6,4,256,0,1,1,0,0,1,0,733699,695000
40.427677,4,3,149,1,1,0,0,0,1,0,603234,750000
40.422966,3,3,129,1,1,1,1,1,1,0,1709528,1690000
40.45074,5,3,231,1,1,1,0,0,1,0,302278,930000
40.350338,2,1,68,0,1,1,0,0,1,0,156772,134000
40.43244,3,1,79,0,1,1,0,0,1,0,238758,235000
40.420406,4,2,143,1,0,0,0,0,0,0,766309,720000
40.36787,1,1,53,1,0,0,0,0,0,0,314346,174000
40.450825,2,1,59,1,0,0,0,0,0,0,911651,393000
40.441093,4,3,173,0,1,1,0,0,1,0,379788,659000
40.49401,4,3,173,0,0,0,0,0,1,0,718994,915000
40.401653,1,1,31,1,0,0,0,0,0,0,357857,179000
40.424057,3,2,128,1,1,0,0,0,0,0,603234,795000
40.451897,1,1,64,1,0,1,0,0,1,0,597620,450000
40.444878,3,1,82,1,0,1,1,0,0,0,700100,490000
40.4353,3,2,91,1,0,1,0,0,0,0,1023319,639000
40.381184,2,2,99,1,1,1,1,0,1,0,234693,255000
40.426453,3,2,87,1,1,0,0,0,0,0,238758,305000
40.466373,3,1,74,1,1,1,0,0,0,0,911651,275000
40.426117,1,1,37,0,1,1,0,0,0,0,747577,230000
40.43195,3,3,389,0,0,1,1,0,0,0,1207212,4542000
40.399998,0,1,45,1,1,1,0,1,1,0,164928,145000
40.43645,3,1,77,0,1,1,0,0,1,0,238758,180000
40.42069,2,2,93,0,1,1,0,0,1,0,747577,580000
40.46722,4,2,185,1,1,1,1,0,1,0,911651,585000
40.416866,2,1,80,1,0,0,0,0,1,0,760050,540000
40.416504,3,2,97,1,1,1,0,0,0,0,941621,798000
40.466038,5,5,313,1,1,1,0,0,1,1,471372,1100000
40.410263,4,3,153,1,1,1,0,1,0,0,529747,580000
40.457108,3,2,141,1,1,1,1,0,0,1,911651,815000
40.398552,3,2,86,1,1,1,1,0,1,0,357857,455000
40.38584,1,1,74,0,0,0,0,0,0,0,357857,285000
40.387356,3,2,90,0,1,1,0,1,0,0,202513,266000
40.42316,3,2,161,0,0,0,0,0,0,0,1709528,2300000
40.456455,4,3,489,0,1,1,1,0,1,1,302278,1150000
40.386166,2,1,74,1,0,1,1,0,1,0,197312,399000
40.45137,3,2,116,1,0,1,0,0,1,0,302278,479000
40.398376,3,2,113,1,1,1,0,0,1,0,357857,251000
40.41406,4,2,322,1,0,1,0,0,1,0,856046,2700000
40.468075,4,3,210,1,1,1,0,0,0,0,923762,1150000
40.34336,3,1,58,0,0,1,0,1,0,0,156772,93000
40.474384,3,1,90,1,0,1,0,0,1,0,471372,202000
40.42152,2,1,93,1,0,0,0,0,0,0,747577,494000
40.43745,2,2,220,1,1,1,0,0,1,0,898889,847000
40.42468,3,1,50,0,0,0,0,0,0,0,260568,124900
40.407505,3,2,124,1,1,1,0,1,0,0,440796,595000
40.380558,1,1,46,0,1,1,0,0,0,0,202513,130000
