Codigo_Postal,Latitud,Longitud,Habitaciones,Baños,Superficie_m2,Piso,Ascensor,Aire_Acondicionado,Calefaccion,Parking,Balcon,Terraza,Piscina,Precio_Medio_cp,Precio
7,40.402584,-3.6729107,2,2,102,0,1,1,1,0,0,0,1,529747,445000
37,40.423885,-3.6215432,3,1,53,6,0,0,0,0,0,0,0,260568,108000
37,40.42368,-3.6215098,3,1,53,0,0,0,0,0,0,0,0,260568,108000
12,40.407387,-3.701162,2,1,68,0,0,1,1,0,0,0,0,440796,235000
1,40.420685,-3.688424,2,2,177,7,1,1,0,0,1,0,0,1709528,2350000
10,40.436382,-3.698839,4,2,167,10,1,1,0,0,0,0,0,1023319,1100000
25,40.38752,-3.7417324,2,1,70,9,0,1,1,0,0,1,0,197312,139000
51,40.365944,-3.620429,3,2,103,3,1,1,1,0,0,1,1,314346,311000
51,40.36765,-3.622936,3,2,103,3,1,0,1,0,0,0,1,314346,311000
26,40.386314,-3.7112668,3,1,90,6,0,0,0,0,0,0,0,202513,172000
15,40.43392,-3.705483,3,2,138,6,1,1,0,0,0,1,0,673599,760000
28,40.434944,-3.674237,1,2,91,11,1,1,1,0,0,0,0,603234,550000
15,40.433132,-3.717794,6,3,244,7,1,1,1,0,1,0,0,673599,950000
15,40.427868,-3.7083042,3,2,115,7,1,1,1,0,0,0,0,673599,700000
39,40.459015,-3.7026198,3,1,84,3,0,0,1,0,0,0,0,302278,300000
0,40.46544,-3.7105513,2,1,78,21,1,1,1,0,0,1,1,942338,525000
42,40.461243,-3.5801938,3,3,158,10,1,1,1,0,1,1,1,457692,490000
27,40.44944,-3.6164138,5,3,334,0,0,1,1,0,1,1,0,379788,890000
41,40.366096,-3.686513,4,2,144,0,1,0,0,1,1,0,0,212177,249000
28,40.435013,-3.6728847,2,1,59,12,1,1,1,0,0,0,0,603234,300000
6,40.43211,-3.675953,5,2,181,6,1,0,1,0,0,0,0,1207212,895000
19,40.39114,-3.7153707,2,1,75,8,0,1,1,0,0,1,0,226302,235000
11,40.41559,-3.7238894,6,3,250,0,1,0,0,0,0,1,0,259011,720000
28,40.437138,-3.671019,3,2,130,7,1,1,1,1,1,0,0,603234,550000
13,40.4155,-3.7037456,2,1,76,10,1,1,1,0,0,0,0,760050,365000
41,40.35172,-3.6961312,3,1,56,8,0,0,1,0,0,1,0,212177,119000
28,40.43469,-3.6699998,2,1,62,7,0,0,0,0,1,0,0,603234,260000
24,40.396152,-3.7601001,3,1,64,8,0,0,0,0,0,0,0,199225,145000
21,40.35127,-3.7107656,3,1,109,0,1,0,0,0,1,0,0,156772,159000
26,40.386906,-3.710795,2,1,70,8,0,1,1,0,0,0,0,202513,170000
25,40.386673,-3.7310152,3,1,88,7,0,0,1,0,0,1,0,197312,159000
21,40.34762,-3.6904967,3,1,70,6,0,1,0,0,0,1,0,156772,125000
25,40.378666,-3.7397459,4,2,118,7,1,1,1,1,1,0,1,197312,359000
18,40.385815,-3.641311,2,1,84,16,1,0,1,0,0,0,0,166500,194000
33,40.47441,-3.6433,3,1,90,0,1,0,1,0,0,1,0,471372,202000
13,40.41867,-3.7072,1,1,48,8,1,1,0,0,1,0,0,760050,330000
45,40.392662,-3.6908147,3,2,100,6,1,1,1,0,0,0,1,357857,490000
28,40.435112,-3.6723084,4,2,144,6,1,1,1,1,0,0,0,603234,560000
1,40.42511,-3.680751,4,3,252,8,1,1,0,0,1,1,0,1709528,2250000
15,40.436924,-3.7179513,4,3,235,8,1,1,1,1,0,1,1,673599,1495000
25,40.375748,-3.74627,2,1,70,8,1,0,1,0,0,1,0,197312,159000
5,40.41327,-3.7091916,0,1,55,3,1,1,1,0,0,0,0,421413,260000
21,40.342453,-3.6759114,3,2,118,9,1,1,1,0,0,1,0,156772,259900
26,40.38361,-3.7041576,3,1,66,8,0,0,0,0,0,1,0,202513,121000
3,40.443935,-3.7001498,1,1,35,7,0,1,0,0,0,0,0,898889,200000
12,40.411068,-3.702238,2,1,57,10,0,1,1,0,0,1,0,440796,225000
35,40.470448,-3.7285485,4,3,151,9,1,0,1,0,0,1,1,733699,650000
11,40.406647,-3.7340903,2,1,71,6,0,1,1,0,0,0,0,259011,159000
23,40.45523,-3.7829843,4,5,287,0,0,1,1,0,0,1,0,1274253,895000
10,40.43044,-3.6970384,3,4,215,10,1,1,1,0,0,0,0,1023319,1590000
27,40.44485,-3.6513414,4,4,236,13,1,1,1,0,0,1,1,379788,995000
10,40.436665,-3.6937356,5,5,302,11,1,1,1,0,0,1,0,1023319,2550000
