Address;Zipcode;Latitude;Longitude;Price;Date;Rooms;Bathrooms;Surface;Floor;Elevator;Air_Conditioner;Heater;Parking;Balcony;Terrace;Swimming_Pool
Retiro;28007;40.402584;-3.6729107;445000;2023-06-07;2;2;102;0;1;1;1;0;0;0;1
Calle de Pobladura del Valle San Blas;28037;40.423885;-3.6215432;108000;2023-07-11;3;1;53;6;0;0;0;0;0;0;0
Calle de Pobladura del Valle San Blas;28037;40.42368;-3.6215098;108000;2023-07-10;3;1;53;0;0;0;0;0;0;0;0
Calle Amparo Centro;28012;40.407387;-3.701162;235000;2023-04-16;2;1;68;0;0;1;1;0;0;0;0
Barrio de Salamanca;28001;40.420685;-3.688424;2350000;2022-09-09;2;2;177;7;1;1;0;0;1;0;0
Chamberí;28010;40.436382;-3.698839;1100000;2023-06-12;4;2;167;10;1;1;0;0;0;0;0
Calle de la Laguna Carabanchel;28025;40.38752;-3.7417324;139000;2023-06-15;2;1;70;9;0;1;1;0;0;1;0
Calle Alameda del Valle Villa de Vallecas;28051;40.365944;-3.620429;311000;2023-07-11;3;2;103;3;1;1;1;0;0;1;1
Calle Alameda del Valle Villa de Vallecas;28051;40.36765;-3.622936;311000;2023-07-12;3;2;103;3;1;0;1;0;0;0;1
Calle de Salasierra Usera;28026;40.386314;-3.7112668;172000;2023-07-10;3;1;90;6;0;0;0;0;0;0;0
Calle de Magallanes Chamberí;28015;40.43392;-3.705483;760000;2023-03-31;3;2;138;6;1;1;0;0;0;1;0
Calle de Francisco Silvela Barrio de Salamanca;28028;40.434944;-3.674237;550000;2023-07-05;1;2;91;11;1;1;1;0;0;0;0
Calle de Meléndez Valdés Moncloa - Aravaca;28015;40.433132;-3.717794;950000;2023-06-02;6;3;244;7;1;1;1;0;1;0;0
Calle de Monserrat Centro;28015;40.427868;-3.7083042;700000;2023-07-10;3;2;115;7;1;1;1;0;0;0;0
Calle Nuestra Señora del Carmen Tetuán;28039;40.459015;-3.7026198;300000;2023-05-23;3;1;84;3;0;0;1;0;0;0;0
Moncloa - Aravaca;28000;40.46544;-3.7105513;525000;2023-07-01;2;1;78;21;1;1;1;0;0;1;1
Calle Riaño 9 Barajas;28042;40.461243;-3.5801938;490000;2023-07-06;3;3;158;10;1;1;1;0;1;1;1
Calle de Josefa Valcárcel San Blas;28027;40.44944;-3.6164138;890000;2023-05-02;5;3;334;0;0;1;1;0;1;1;0
Calle Rutilo Usera;28041;40.366096;-3.686513;249000;2023-06-20;4;2;144;0;1;0;0;1;1;0;0
Calle de Ardemans Barrio de Salamanca;28028;40.435013;-3.6728847;300000;2023-06-19;2;1;59;12;1;1;1;0;0;0;0
General Díaz Porlier Barrio de Salamanca;28006;40.43211;-3.675953;895000;2023-05-31;5;2;181;6;1;0;1;0;0;0;0
Calle de Antonio de Leyva Carabanchel;28019;40.39114;-3.7153707;235000;2023-06-26;2;1;75;8;0;1;1;0;0;1;0
Paseo del Marqués de Monistrol Latina;28011;40.41559;-3.7238894;720000;2023-01-26;6;3;250;0;1;0;0;0;0;1;0
Calle de Cartagena Barrio de Salamanca;28028;40.437138;-3.671019;550000;2023-06-22;3;2;130;7;1;1;1;1;1;0;0
Centro;28013;40.4155;-3.7037456;365000;2023-06-22;2;1;76;10;1;1;1;0;0;0;0
Calle de Arechavaleta Villaverde;28041;40.35172;-3.6961312;119000;2023-04-05;3;1;56;8;0;0;1;0;0;1;0
Calle de Eraso Barrio de Salamanca;28028;40.43469;-3.6699998;260000;2023-06-27;2;1;62;7;0;0;0;0;1;0;0
De Tembleque Latina;28024;40.396152;-3.7601001;145000;2023-05-11;3;1;64;8;0;0;0;0;0;0;0
Calle Puebla de Sanabria Villaverde;28021;40.35127;-3.7107656;159000;2023-06-23;3;1;109;0;1;0;0;0;1;0;0
Calle del Quince de Agosto Usera;28026;40.386906;-3.710795;170000;2023-05-26;2;1;70;8;0;1;1;0;0;0;0
Carabanchel;28025;40.386673;-3.7310152;159000;2023-06-20;3;1;88;7;0;0;1;0;0;1;0
Calle del Estroncio Villaverde;28021;40.34762;-3.6904967;125000;2023-05-10;3;1;70;6;0;1;0;0;0;1;0
Calle de Pilar Perez Lavid . Carabanchel;28025;40.378666;-3.7397459;359000;2023-07-10;4;2;118;7;1;1;1;1;1;0;1
Av Rafael Alberti 37 Puente de Vallecas;28018;40.385815;-3.641311;194000;2023-06-29;2;1;84;16;1;0;1;0;0;0;0
Calle del Mar de Aral Hortaleza;28033;40.47441;-3.6433;202000;2023-07-11;3;1;90;0;1;0;1;0;0;1;0
Travesía de Trujillos 2 Centro;28013;40.41867;-3.7072;330000;2023-06-22;1;1;48;8;1;1;0;0;1;0;0
Calle Bolívar Arganzuela;28045;40.392662;-3.6908147;490000;2023-06-30;3;2;100;6;1;1;1;0;0;0;1
Calle José Picón Barrio de Salamanca;28028;40.435112;-3.6723084;560000;2023-07-07;4;2;144;6;1;1;1;1;0;0;0
Calle de Goya Barrio de Salamanca;28001;40.42511;-3.680751;2250000;2023-04-25;4;3;252;8;1;1;0;0;1;1;0
Calle de Isaac Peral Chamberí;28015;40.436924;-3.7179513;1495000;2023-06-20;4;3;235;8;1;1;1;1;0;1;1
Calle de Ayamonte Carabanchel;28025;40.375748;-3.74627;159000;2023-06-20;2;1;70;8;1;0;1;0;0;1;0
Travesía del Almendro Centro;28005;40.41327;-3.7091916;260000;2023-04-25;0;1;55;3;1;1;1;0;0;0;0
Calle del Berrocal Villaverde;28021;40.342453;-3.6759114;259900;2023-05-22;3;2;118;9;1;1;1;0;0;1;0
Calle Ramón Luján Usera;28026;40.38361;-3.7041576;121000;2023-07-10;3;1;66;8;0;0;0;0;0;1;0
Calle de María de Guzmán Chamberí;28003;40.443935;-3.7001498;200000;2023-01-12;1;1;35;7;0;1;0;0;0;0;0
Calle de Ministriles Centro;28012;40.411068;-3.702238;225000;2023-06-11;2;1;57;10;0;1;1;0;0;1;0
Calle San Martín de Porres Moncloa - Aravaca;28035;40.470448;-3.7285485;650000;2023-07-07;4;3;151;9;1;0;1;0;0;1;1
Latina;28011;40.406647;-3.7340903;159000;2023-06-28;2;1;71;6;0;1;1;0;0;0;0
Calle de Andrómeda Moncloa - Aravaca;28023;40.45523;-3.7829843;895000;2023-06-30;4;5;287;0;0;1;1;0;0;1;0
Calle de Santa Engracia Chamberí;28010;40.43044;-3.6970384;1590000;2023-02-10;3;4;215;10;1;1;1;0;0;0;0
Ciudad Lineal;28027;40.44485;-3.6513414;995000;2023-06-17;4;4;236;13;1;1;1;0;0;1;1
Calle de García de Paredes Chamberí;28010;40.436665;-3.6937356;2550000;2023-06-17;5;5;302;11;1;1;1;0;0;1;0
Barrio de Salamanca;28009;40.424343;-3.6764843;740000;2023-07-10;3;2;133;9;1;0;1;0;1;0;0
Calle Don Álvaro de Bazán Chamberí;28003;40.44436;-3.7007754;690000;2023-05-27;4;4;115;3;1;1;1;0;0;1;0
Calle del General Álvarez de Castro Chamberí;28010;40.437515;-3.7027197;550000;2023-03-30;3;2;111;7;1;0;1;0;0;0;0
Julian del Cerro 6 Puente de Vallecas;28038;40.40415;-3.6621587;225000;2023-07-12;2;2;62;6;1;0;1;0;0;0;0
Triacastela Fuencarral - El Pardo;28050;40.50993;-3.670063;499000;2023-07-07;3;2;144;8;1;1;0;0;0;0;0
Rafael Bergamã­n 5c Ciudad Lineal;28043;40.450825;-3.6618922;353000;2023-07-06;1;1;56;11;1;0;0;0;0;0;0
Albacete Ciudad Lineal;28027;40.4428;-3.657256;255000;2023-07-05;1;1;44;13;1;0;0;0;0;0;0
General Vara del Rey Centro;28005;40.409195;-3.7080274;320000;2023-07-11;0;1;33;11;1;0;0;0;0;0;0
General Vara del Rey Centro;28005;40.409195;-3.7080274;270000;2023-07-12;0;1;40;11;1;0;0;0;0;0;0
Calle de Fuentelviejo San Blas;28022;40.448597;-3.5700538;498000;2023-07-03;4;3;213;0;0;1;1;0;1;1;1
Chamartín;28002;40.444843;-3.6702144;365000;2023-06-27;3;1;85;3;0;0;1;0;0;1;0
Calle de Alberto Aguilera Centro;28015;40.429718;-3.7090561;424000;2023-06-14;1;1;66;10;1;1;1;0;0;0;0
Centro;28013;40.419476;-3.7065427;489000;2023-06-10;2;2;79;6;0;1;1;0;1;1;0
Calle de Arganzuela Centro;28005;40.407997;-3.7096078;198000;2023-04-12;1;1;41;3;0;1;1;0;0;0;0
Hortaleza;28043;40.45799;-3.6484458;255000;2022-12-21;1;1;43;6;1;1;1;0;0;0;1
General Oráa Barrio de Salamanca;28006;40.436153;-3.68015;320000;2023-07-07;1;1;52;3;1;1;1;0;1;1;0
José Ortega y Gasset Barrio de Salamanca;28006;40.429817;-3.6872492;500000;2023-06-22;1;1;40;0;1;1;1;0;0;0;0
Calle de Velázquez Barrio de Salamanca;28001;40.425346;-3.684054;1700000;2023-06-20;3;2;128;12;1;1;1;0;0;0;0
Retiro;28014;40.41697;-3.6904616;580000;2023-06-14;1;1;71;11;1;1;1;0;0;0;0
Alameda del Valle Villa de Vallecas;28051;40.367798;-3.6227825;311000;2023-07-06;3;2;89;0;1;0;1;0;0;1;0
Calle de Maudes Chamberí;28003;40.44557;-3.7025356;235000;2023-07-10;1;1;46;6;0;1;1;0;0;0;0
San Blas;28037;40.439224;-3.6188083;285000;2023-06-15;1;2;94;3;1;1;1;1;1;1;0
Barrio de Salamanca;28006;40.42942;-3.6723013;1600000;2023-06-16;5;2;228;12;1;1;0;0;0;1;0
Vicálvaro;28032;40.404324;-3.6053193;185000;2023-06-13;3;1;60;8;1;0;1;0;0;1;0
Calle de Juan Duque Arganzuela;28005;40.411316;-3.718794;415000;2023-05-23;4;2;112;6;1;0;1;0;0;1;0
Mata del Agua Villa de Vallecas;28031;40.369457;-3.6226919;180000;2023-07-08;3;1;105;6;1;0;1;0;0;1;0
Ciudad Lineal;28027;40.442146;-3.6451516;850000;2023-07-07;4;2;203;9;1;1;1;0;0;1;0
De Antonio Gades Villa de Vallecas;28031;40.36168;-3.596996;330000;2023-06-29;3;2;151;8;1;1;1;1;0;0;0
Villa de Vallecas;28051;40.36683;-3.6243374;311000;2023-07-06;3;2;103;3;1;1;1;0;0;1;1
Fuencarral - El Pardo;28035;40.477997;-3.7348614;695000;2023-07-03;6;4;256;0;0;1;1;0;0;1;0
Calle Marqués de Mondéjar Barrio de Salamanca;28028;40.427677;-3.6653035;750000;2023-07-05;4;3;149;7;1;1;0;0;0;1;0
Barrio de Salamanca;28001;40.422966;-3.6799188;1690000;2023-06-06;3;3;129;11;1;1;1;1;1;1;0
Tetuán;28039;40.45074;-3.710629;930000;2023-06-23;5;3;231;11;1;1;1;0;0;1;0
Calle de Encarnación Oviol Villaverde;28021;40.350338;-3.6879554;134000;2023-06-20;2;1;68;8;0;1;1;0;0;1;0
Ciudad Lineal;28017;40.43244;-3.644926;235000;2023-06-02;3;1;79;9;0;1;1;0;0;1;0
Cuesta de San Vicente Moncloa - Aravaca;28008;40.420406;-3.7167141;720000;2023-06-07;4;2;143;0;1;0;0;0;0;0;0
Puentedey Villa de Vallecas;28051;40.36787;-3.612752;174000;2023-07-05;1;1;53;13;1;0;0;0;0;0;0
Rafael Bergamã­n 5c Ciudad Lineal;28043;40.450825;-3.6618922;393000;2023-07-06;2;1;59;12;1;0;0;0;0;0;0
Ciudad Lineal;28027;40.441093;-3.6413608;659000;2023-06-30;4;3;173;6;0;1;1;0;0;1;0
Moralzarzal Fuencarral - El Pardo;28034;40.49401;-3.7139;915000;2023-07-09;4;3;173;0;0;0;0;0;0;1;0
Paseo de Santa María de la Cabeza Arganzuela;28045;40.401653;-3.6986341;179000;2023-07-06;1;1;31;0;1;0;0;0;0;0;0
Calle del Doctor Esquerdo Barrio de Salamanca;28028;40.424057;-3.6684644;795000;2023-06-07;3;2;128;10;1;1;0;0;0;0;0
Tetuán;28020;40.451897;-3.694043;450000;2023-06-07;1;1;64;21;1;0;1;0;0;1;0
Corazon de Maria Chamartín;28002;40.444878;-3.6672373;490000;2023-07-01;3;1;82;0;1;0;1;1;0;0;0
Chamberí;28010;40.4353;-3.700866;639000;2023-07-11;3;2;91;9;1;0;1;0;0;0;0
Puente de Vallecas;28031;40.381184;-3.634172;255000;2023-06-29;2;2;99;0;1;1;1;1;0;1;0
Ciudad Lineal;28017;40.426453;-3.6575212;305000;2023-06-29;3;2;87;7;1;1;0;0;0;0;0
Hortaleza;28043;40.466373;-3.6304617;275000;2023-05-25;3;1;74;7;1;1;1;0;0;0;0
Centro;28004;40.426117;-3.7026455;230000;2023-05-26;1;1;37;9;0;1;1;0;0;0;0
Calle de Núñez de Balboa Barrio de Salamanca;28006;40.43195;-3.68229;4542000;2023-06-04;3;3;389;3;0;0;1;1;0;0;0
Mendívil 25 Puente de Vallecas;28038;40.399998;-3.6647713;145000;2023-07-12;0;1;45;3;1;1;1;0;1;1;0
Amos de Escalante Ciudad Lineal;28017;40.43645;-3.6401777;180000;2023-07-10;3;1;77;7;0;1;1;0;0;1;0
Centro;28004;40.42069;-3.699877;580000;2023-06-16;2;2;93;10;0;1;1;0;0;1;0
Hortaleza;28043;40.46722;-3.6541593;585000;2023-06-11;4;2;185;9;1;1;1;1;0;1;0
Calle del Arenal Centro;28013;40.416866;-3.7058287;540000;2023-06-20;2;1;80;8;1;0;0;0;0;1;0
Calle de Máiquez Retiro;28009;40.416504;-3.6734545;798000;2023-05-28;3;2;97;10;1;1;1;0;0;0;0
Ciudad Lineal;28033;40.466038;-3.6628997;1100000;2023-05-09;5;5;313;6;1;1;1;0;0;1;1
Estrella Polar Retiro;28007;40.410263;-3.6658976;580000;2023-05-02;4;3;153;0;1;1;1;0;1;0;0
Hortaleza;28043;40.457108;-3.6420534;815000;2023-07-03;3;2;141;0;1;1;1;1;0;0;1
Paseo de las Delicias Arganzuela;28045;40.398552;-3.6940148;455000;2023-06-15;3;2;86;10;1;1;1;1;0;1;0
Calle de Puerto Serrano Arganzuela;28045;40.38584;-3.6874442;285000;2023-06-20;1;1;74;3;0;0;0;0;0;0;0
Usera;28026;40.387356;-3.7061894;266000;2023-05-31;3;2;90;0;0;1;1;0;1;0;0
Calle de Villanueva Barrio de Salamanca;28001;40.42316;-3.690919;2300000;2023-06-04;3;2;161;8;0;0;0;0;0;0;0
Calle Francos Rodríguez Tetuán;28039;40.456455;-3.708522;1150000;2023-07-10;4;3;489;0;0;1;1;1;0;1;1
Carabanchel;28025;40.386166;-3.7326403;399000;2023-06-26;2;1;74;8;1;0;1;1;0;1;0
Tetuán;28039;40.45137;-3.7103171;479000;2023-07-07;3;2;116;12;1;0;1;0;0;1;0
Arganzuela;28045;40.398376;-3.6905317;251000;2023-07-02;3;2;113;10;1;1;1;0;0;1;0
Retiro;28014;40.41406;-3.6916933;2700000;2022-10-26;4;2;322;8;1;0;1;0;0;1;0
Chamartín;28016;40.468075;-3.6775894;1150000;2022-10-26;4;3;210;0;1;1;1;0;0;0;0
Gilena Villaverde;28021;40.34336;-3.7088225;93000;2023-07-02;3;1;58;8;0;0;1;0;1;0;0
Calle del Mar de Aral Hortaleza;28033;40.474384;-3.6442733;202000;2023-07-10;3;1;90;0;1;0;1;0;0;1;0
Hortaleza Centro;28004;40.42152;-3.7004793;494000;2023-07-12;2;1;93;0;1;0;0;0;0;0;0
Chamberí;28003;40.43745;-3.7008266;847000;2023-07-12;2;2;220;11;1;1;1;0;0;1;0
Fornitura San Blas;28037;40.42468;-3.623799;124900;2023-06-15;3;1;50;6;0;0;0;0;0;0;0
Centro;28012;40.407505;-3.7009635;595000;2023-06-13;3;2;124;7;1;1;1;0;1;0;0
Nicolás Sanchez Usera;28026;40.380558;-3.7052891;130000;2023-07-08;1;1;46;3;0;1;1;0;0;0;0
Esteban Collantes 50 Ciudad Lineal;28017;40.432526;-3.6378818;140800;2023-05-17;3;1;70;10;0;0;0;0;0;0;0
Calle de Ercilla Arganzuela;28005;40.402287;-3.7021046;139000;2023-03-28;2;1;46;3;1;0;0;0;0;0;0
Ciudad Lineal;28017;40.42611;-3.652475;109900;2023-07-07;1;1;35;0;1;0;1;0;0;0;0
Centro;28004;40.42576;-3.7035546;180000;2023-07-04;1;1;25;8;0;0;1;0;0;0;0
Villaverde;28021;40.35362;-3.689018;139900;2023-06-06;3;1;75;8;0;0;0;0;0;1;0
Chamberí;28010;40.435932;-3.6981473;675000;2023-06-01;3;1;132;0;0;0;1;0;1;0;0
Centro;28013;40.420654;-3.703862;955000;2022-12-01;3;2;157;7;1;0;0;0;0;0;0
Calle de la Esmeralda Usera;28026;40.3858;-3.7102735;105000;2022-04-08;2;1;50;3;0;0;0;0;0;0;0
Villaverde;28021;40.34518;-3.7165623;160000;2023-06-30;3;1;88;6;0;0;1;0;0;1;0
Vicálvaro;28032;40.40119;-3.605404;150000;2023-07-06;3;1;65;9;0;1;1;0;0;1;0
Centro;28015;40.4278;-3.7066858;345000;2023-06-16;2;1;69;3;0;1;1;0;0;0;0
Calle de Bailén Centro;28005;40.413445;-3.713431;330000;2023-07-10;1;1;41;0;1;0;0;0;0;0;0
Chamartín;28016;40.462166;-3.6780655;1530000;2023-07-10;3;3;164;7;0;0;0;0;0;0;0
Arganzuela;28045;40.401756;-3.6985316;160000;2023-01-16;2;1;35;9;0;1;1;0;0;0;0
Carabanchel;28019;40.38711;-3.719417;140000;2023-07-02;2;1;62;6;1;0;1;0;0;0;0
Chamberí;28010;40.429123;-3.703183;319000;2023-07-12;2;1;40;9;1;0;1;0;0;0;0
Villaverde;28021;40.343685;-3.6870365;120000;2023-06-15;3;1;57;10;1;1;1;0;0;0;0
Jazmin Ciudad Lineal;28033;40.480534;-3.664915;315000;2023-06-06;1;1;70;0;1;0;1;0;0;0;0
Fuencarral - El Pardo;28029;40.480923;-3.700105;219000;2023-07-09;3;2;104;10;1;0;1;0;0;1;0
Hortaleza;28043;40.463123;-3.6556158;1280000;2023-06-27;4;2;317;0;0;0;0;0;0;0;1
Mendívil 25 Puente de Vallecas;28038;40.399998;-3.6647713;183000;2023-07-12;0;1;51;0;1;1;1;0;1;1;0
Villaverde;28041;40.35586;-3.6912725;237000;2023-06-06;3;2;105;0;1;1;1;0;0;1;0
Lerida Tetuán;28020;40.452263;-3.701174;199000;2023-01-25;1;1;40;0;0;0;1;0;0;0;0
Chamartín;28016;40.4628;-3.6755385;1840000;2023-07-10;4;5;165;3;0;1;0;0;0;1;0
Barrio de Salamanca;28028;40.436794;-3.6651218;255000;2023-01-27;1;1;49;0;0;0;0;0;0;0;0
Chamartín;28016;40.454834;-3.6781964;790000;2023-07-10;3;3;137;6;0;0;0;0;0;1;0
Centro;28012;40.408936;-3.6987808;310000;2023-04-17;4;1;82;0;0;0;1;0;0;0;0
Ricardo Ortiz Ciudad Lineal;28017;40.423847;-3.657769;198000;2023-07-12;3;1;75;0;1;0;1;0;0;1;0
Calle Enrique de Oro Carabanchel;28054;40.37235;-3.7384114;201400;2023-05-23;2;2;75;0;0;0;0;1;0;0;1
Fuencarral - El Pardo;28035;40.483036;-3.7220855;199000;2023-03-08;2;1;76;0;0;0;1;0;0;0;0
Calle de O'donnell Retiro;28009;40.421234;-3.6763663;1150000;2023-07-03;4;3;174;8;1;0;1;0;0;1;0
Calle de O'donnell Barrio de Salamanca;28009;40.4218;-3.6744478;1750000;2023-06-30;4;4;222;10;0;0;0;1;0;0;0
San Blas;28037;40.43541;-3.6154778;720000;2023-06-29;3;3;212;0;1;1;1;1;1;1;1
Moncloa - Aravaca;28023;40.472248;-3.8181486;3500000;2023-07-05;12;10;1200;0;0;1;1;0;0;1;1
Calle Ferenc Puskas Vicálvaro;28052;40.39834;-3.54674;393226;2023-01-17;3;4;181;0;0;0;0;0;0;0;1
Fuencarral - El Pardo;28035;40.476414;-3.7249575;710000;2023-06-13;3;3;161;0;1;1;1;0;0;1;0
Centro;28004;40.422935;-3.6957757;1785000;2023-06-06;3;2;187;8;0;1;0;0;0;0;0
Pilar Cavero 18 Ciudad Lineal;28027;40.44721;-3.64566;329000;2023-03-17;1;1;65;8;1;0;0;0;0;0;0
Fuencarral - El Pardo;28034;40.488;-3.707424;1595000;2023-06-24;4;5;255;0;0;1;1;0;0;1;1
Chamartín;28036;40.458263;-3.6828067;3200000;2023-07-10;7;7;573;0;0;1;0;0;0;1;0
Chamartín;28046;40.468235;-3.6885078;520000;2023-07-10;4;2;100;6;0;0;0;0;0;0;0
Puente de Vallecas;28018;40.379196;-3.6521113;123800;2023-06-27;2;1;51;6;0;0;0;0;0;0;0
Plaza del Conde de Toreno Centro;28015;40.424656;-3.709259;425000;2023-05-16;1;1;39;10;0;1;0;0;0;1;0
Calle de Torrelaguna Ciudad Lineal;28027;40.443466;-3.6542702;800000;2023-03-31;3;2;120;19;1;1;1;0;0;1;0
Moncloa - Aravaca;28023;40.46023;-3.794714;1100000;2023-06-27;4;3;196;6;1;1;1;0;0;1;1
Vicálvaro;28052;40.39969;-3.5569994;239000;2023-05-29;1;1;64;11;1;1;1;0;0;0;0
Centro;28012;40.409405;-3.7010777;418000;2023-06-15;2;2;80;6;0;1;1;0;0;1;0
Ciudad Lineal;28027;40.438;-3.6556635;345000;2023-07-06;4;2;104;0;0;0;1;0;0;1;0
Calle de Antonio Moreno 16  Carabanchel;28025;40.38462;-3.72737;175000;2023-07-04;3;1;84;10;0;1;1;0;1;0;0
Calle de Tribaldos Hortaleza;28043;40.467373;-3.635939;360000;2023-07-10;3;2;85;8;1;0;1;0;0;0;0
Calle de Hernani Tetuán;28020;40.447716;-3.697786;895000;2023-06-28;5;3;251;7;1;0;1;0;0;1;0
Chamberí;28010;40.431908;-3.7002645;600000;2023-07-12;2;1;93;9;1;0;1;0;0;0;0
Av. de Menéndez Pelayo 55  Retiro;28009;40.41615;-3.67772;325000;2023-06-28;2;1;44;9;1;1;1;0;0;0;0
Colonia Erillas Puente de Vallecas;28053;40.39479;-3.665864;175000;2023-02-03;3;2;96;10;0;0;0;1;0;0;0
Calle de Talisio Ciudad Lineal;28027;40.438507;-3.6444607;160000;2023-05-23;2;1;60;6;0;0;0;0;1;1;0
Chamberí;28010;40.439114;-3.701066;550000;2023-03-30;3;2;110;7;1;1;1;0;0;1;0
Calle de Fuentelencina 26a San Blas;28022;40.44884;-3.57047;498000;2023-06-01;4;3;200;0;0;1;1;0;0;1;0
Calle de Esquilache Chamberí;28003;40.443527;-3.7051964;235000;2023-03-16;1;1;46;6;0;1;0;0;1;0;0
Del Puerto de Pajares Puente de Vallecas;28053;40.394737;-3.6649258;180000;2023-04-27;3;1;111;9;0;0;0;0;0;1;0
General Pardiñas Barrio de Salamanca;28001;40.428665;-3.678122;320000;2023-06-14;1;1;52;0;1;0;1;0;0;0;0
Moncloa - Aravaca;28023;40.448803;-3.7839096;480000;2023-05-10;2;2;95;10;1;0;1;0;0;1;0
Monte Perdido Puente de Vallecas;28053;40.392845;-3.6656291;210000;2023-05-02;2;2;66;8;1;1;1;0;1;1;0
Barrio de Salamanca;28006;40.42928;-3.674981;340000;2023-06-22;2;1;63;6;1;1;1;0;0;0;0
Hortaleza;28043;40.46868;-3.6514382;210000;2023-06-19;3;1;57;6;1;0;0;0;1;0;0
Latina;28024;40.39641;-3.7606487;132000;2023-04-27;3;1;64;0;0;0;0;0;0;1;0
Calle de Jorge Juan Barrio de Salamanca;28028;40.422832;-3.666171;199000;2023-04-24;0;1;40;6;1;1;1;0;0;0;0
Usera;28026;40.38082;-3.7158942;142000;2023-06-01;2;1;67;0;0;0;0;0;0;0;0
Villaverde;28021;40.33781;-3.690097;98000;2023-06-23;3;1;63;10;0;0;0;0;0;0;0
Del Vizconde de Arlessón Puente de Vallecas;28018;40.383305;-3.666717;135000;2023-06-01;3;1;60;9;1;1;1;0;0;0;0
De Nuestra Señora del Villar Ciudad Lineal;28017;40.42388;-3.6521933;195000;2023-06-15;2;1;51;0;0;1;0;0;0;0;0
Calle Donoso Cortés Chamberí;28015;40.43629;-3.7126544;228000;2023-03-14;1;1;39;8;0;0;0;0;0;0;0
Carabanchel;28019;40.391018;-3.7207317;129000;2023-04-17;2;1;61;0;0;0;0;0;0;0;0
Calle de Manuel Lamela Carabanchel;28025;40.385983;-3.7333438;137500;2023-06-23;3;1;90;3;0;0;1;0;0;1;0
Moncloa - Aravaca;28008;40.420715;-3.7185674;339000;2023-06-12;1;1;53;9;1;1;0;0;1;0;0
Puente de Vallecas;28038;40.385555;-3.6528215;80000;2023-06-20;2;1;63;3;0;0;0;0;0;1;0
Calle de Escalonilla Latina;28047;40.39532;-3.7418563;149900;2023-04-28;3;1;98;8;0;0;0;0;0;0;0
C. de Juan Álvarez Mendizábal 58  Moncloa - Aravaca;28008;40.42762;-3.71751;649000;2023-07-10;3;2;106;9;1;1;1;0;0;1;0
Pl. del Pico Salvaguardia 10  Fuencarral - El Pardo;28035;40.48323;-3.72007;199000;2023-06-05;2;1;55;6;1;1;1;0;0;0;0
C. de Torres Miranda 16  Arganzuela;28045;40.39832;-3.70026;399000;2023-06-23;3;2;81;8;1;1;1;0;0;1;0
Huertas 61 Centro;28014;40.41314;-3.69605;200000;2023-07-03;1;1;37;6;1;0;1;0;0;0;0
Calle del Gral. Ricardos 22  Carabanchel;28019;40.3964;-3.71861;250000;2023-06-15;3;1;69;6;1;1;1;0;0;0;0
Cruz Verde 6 Centro;28004;40.42337;-3.7071;165000;2023-07-05;1;1;23;9;0;1;1;0;0;0;0
Calle Grañón 14  Fuencarral - El Pardo;28050;40.50783;-3.67394;449000;2023-06-08;2;2;107;8;1;1;1;0;0;0;0
C. de Fortunata y Jacinta 7  Tetuán;28020;40.45398;-3.69882;799000;2023-07-10;4;3;173;7;1;1;1;0;1;1;0
C. de Lérida 97  Tetuán;28020;40.45889;-3.69912;449000;2023-06-29;3;2;108;7;1;1;1;0;0;1;0
Calle de Rafael de Riego Arganzuela;28045;40.404854;-3.6922777;700000;2023-07-03;4;3;158;9;1;0;1;0;0;1;0
Calle de Fernán González Retiro;28009;40.420418;-3.6743593;1195000;2023-06-21;4;3;184;9;1;1;1;0;0;1;0
Calle del Marqués de Leis 16 Tetuán;28020;40.45802;-3.6994479;275000;2023-06-02;4;2;100;8;0;1;0;0;1;0;0
Vallehermoso Chamberí;28015;40.437813;-3.7085984;430000;2023-07-12;3;1;96;3;1;0;1;0;0;0;0
Calle de Viñegra Latina;28047;40.402237;-3.739189;295000;2023-07-07;3;2;81;6;1;1;1;0;1;0;0
Calle de Tinamús Carabanchel;28019;40.38883;-3.7227776;225000;2023-07-03;3;2;86;11;1;0;0;0;0;1;0
Avenida de Ramón y Cajal Chamartín;28016;40.452263;-3.6669056;800000;2023-06-30;4;3;164;10;1;0;1;0;1;1;0
Calle de Miguel de la Iglesia Ciudad Lineal;28027;40.440704;-3.6446996;255000;2023-06-29;3;1;84;8;1;1;1;0;1;1;0
Calle de Tribaldos Hortaleza;28043;40.467205;-3.63331;319000;2023-06-27;3;1;86;7;1;1;1;0;1;1;0
Lope de Rueda Barrio de Salamanca;28009;40.423214;-3.67736;450000;2023-07-12;2;2;71;7;1;1;1;0;0;0;0
